id3	sample_id	sample_type	purity_ascat	purity_absolute	purity_remixt	purity_purple	purity_estimate	purity_hatchet	ploidy_ascat	ploidy_absolute	ploidy_remixt	ploidy_purple	ploidy_hatchet
HCM-CSHL-0078-C25	HCM-CSHL-0078-C25-85M	M	0.98	0.99	0.98	0.99	0.99	0.941521	2.95	3	2.81	2.94	5.856926306
HCM-CSHL-0079-C25	HCM-CSHL-0079-C25-85B	M	1	0.99	0.98	1	NA	0.997476	1.6	1.6	3.29	1.58	1.664095675
HCM-CSHL-0080-C25	HCM-CSHL-0080-C25-85A	M	0.98	0.99	0.99	0.99	1	0.934676	2.55	2.64	2.55	2.64	2.697735846
HCM-CSHL-0084-C25	HCM-CSHL-0084-C25-85B	M	1	0.99	0.99	1	NA	0.939579	3.1	2.56	2.61	2.56	5.275868032
HCM-CSHL-0089-C25	HCM-CSHL-0089-C25-85A	M	0.87	0.99	0.99	0.8	1	0.630217	2.65	2.66	2.75	2.56	6.169387216
HCM-CSHL-0090-C25	HCM-CSHL-0090-C25-85A	M	0.94	0.99	0.94	0.99	1	0.207756	3.2	2.92	3.2	2.9	2.948669413
HCM-CSHL-0091-C25	HCM-CSHL-0091-C25-85A	M	0.99	0.99	0.98	1	1	1	3	2.75	2.79	2.8	2.810156228
HCM-CSHL-0094-C25	HCM-CSHL-0094-C25-85B	M	0.98	0.99	0.98	1	NA	0.992863	3.05	2.97	2.97	2.96	3.022582133
HCM-CSHL-0094-C25	HCM-CSHL-0094-C25-86A	M	NA	0.99	0.98	1	1	NA	NA	2.97	2.96	2.96	NA
HCM-CSHL-0143-C20	HCM-CSHL-0143-C20-85A	M	1	0.99	0.99	1	1	0.982464	1.9	1.93	1.95	1.94	1.951345403
HCM-CSHL-0151-C50	HCM-CSHL-0151-C50-85A	M	0.9	0.99	0.993840668	1	1	0.999326	1.9	2.01	2.015034386	2.02	2.0480617
HCM-CSHL-0153-C50	HCM-CSHL-0153-C50-85E	M	0.99	0.99	0.99	1	0.99	0.995991	2.05	2.1	2.41	2.1	2.122363266
HCM-CSHL-0159-C18	HCM-CSHL-0159-C18-85B	M	0.81	0.99	0.79	0.98	1	0.930579	2.45	2.46	2.64	2.46	2.481062996
HCM-CSHL-0161-C18	HCM-CSHL-0161-C18-85B	M	0.96	0.99	0.99	1	NA	0.996222	1.85	1.93	2.07	1.92	1.948963314
HCM-CSHL-0164-C20	HCM-CSHL-0164-C20-85A	M	0.89	0.99	0.99	0.99	0.99	0.967266	2	2.03	2.05	2.02	2.054892545
HCM-CSHL-0177-C25	HCM-CSHL-0177-C25-85A	M	0.96	0.99	0.98	1	1	0.442405	1.8	1.62	1.73	1.66	1.439073009
