,case_id3,cell_type,Diagnosis_TCGA_HCMI_Code,umap1,umap2
TCGA-DD-AACK-01,,TCGA Tumor,LIHC,1.098511842,3.952877928
TCGA-D8-A27F-01,,TCGA Tumor,BRCA,0.932912793,-1.484135341
TCGA-D3-A3C8-06,,TCGA Tumor,SKCM,5.168148008,3.453317572
TCGA-AB-2836-03,,TCGA Tumor,LAML,-3.946586642,-12.20323808
TCGA-56-7579-01,,TCGA Tumor,LUSC,-6.088755641,2.365509201
TCGA-EA-A556-01,,TCGA Tumor,CESC,1.496773925,6.507956434
TCGA-MJ-A68J-01,,TCGA Tumor,SARC,1.579203215,1.346195627
TCGA-DD-A118-01,,TCGA Tumor,LIHC,0.358726781,3.509484697
TCGA-VS-A9V3-01,,TCGA Tumor,CESC,-6.207444224,1.827308227
TCGA-AU-6004-01,,TCGA Tumor,COAD,-5.135341677,-3.689081739
TCGA-KD-A5QS-01,,TCGA Tumor,SARC,1.25115278,1.424396683
TCGA-BQ-7061-01,,TCGA Tumor,KIRP,5.593284097,-5.328685354
TCGA-UC-A7PG-06,,TCGA Tumor,CESC,-6.425053153,1.700381805
TCGA-A5-A3LP-01,,TCGA Tumor,UCEC,1.470675674,6.766205717
TCGA-25-1627-01,,TCGA Tumor,OV,1.769113865,8.489520479
TCGA-63-A5MJ-01,,TCGA Tumor,LUSC,-5.258288893,2.438729454
TCGA-EW-A2FV-01,,TCGA Tumor,BRCA,5.373082605,-1.425574612
TCGA-V4-A9E8-01,,TCGA Tumor,UVM,6.728105989,4.402158667
TCGA-31-1950-01,,TCGA Tumor,OV,1.741016116,8.529419352
TCGA-AY-6386-01,,TCGA Tumor,COAD,-5.227580581,-3.756238293
TCGA-D7-A74A-01,,TCGA Tumor,STAD,-3.790006194,-3.696070265
TCGA-CS-5397-01,,TCGA Tumor,LGG,1.994257059,-9.985264372
TCGA-TM-A84S-01,,TCGA Tumor,LGG,2.675286498,-10.51239927
TCGA-B0-4701-01,,TCGA Tumor,KIRC,6.316275563,-6.743506979
TCGA-33-4538-01,,TCGA Tumor,LUSC,-5.323797259,2.45023935
