,case_id3,cancer_type,cell_type,Diagnosis_TCGA_HCMI_Code,CCLE_Disease,umap1,umap2
TCGA-FS-A4FD-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,6.023045984,3.979974199
TCGA-B0-5707-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,-0.766408596,7.626764227
TCGA-CQ-A4CI-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-5.342949424,2.431743075
TCGA-05-4250-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,0.04813945,-2.762641023
TARGET-50-PALGAZ-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.559194121,7.691676069
TCGA-12-3650-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.574578967,-9.191996168
TCGA-D3-A3C6-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.127294507,3.488362242
TCGA-94-8035-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.835249934,2.286599089
TCGA-E2-A154-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.852356878,-1.564605664
TCGA-BP-4777-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,5.98603436,-6.320502352
TCGA-AA-3675-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.112870726,-3.693714451
TCGA-85-A4CN-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.32741693,2.47349136
TCGA-56-A5DS-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-6.063607249,2.317626167
TCGA-CG-5718-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-3.592493806,-3.192047905
TCGA-BC-A69I-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,1.278281954,3.945177723
TCGA-B0-5694-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.22673842,-5.820076059
TCGA-CG-4474-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-5.520958934,-3.356506656
TCGA-K1-A6RV-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.254686501,1.245504786
TCGA-E2-A15E-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.269943681,-1.878185223
TCGA-66-2770-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.268599067,2.392021347
TCGA-67-3774-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.404156539,-2.908292364
TCGA-AC-A3OD-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.455913272,-1.370962929
TCGA-80-5608-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-1.073088679,-2.204947304
TCGA-CN-6021-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-5.989943538,2.385816027
TCGA-DE-A4MD-06,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.27635142,0.356737156
TCGA-13-0726-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.912156668,8.154711176
TCGA-AJ-A3EJ-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.459048476,6.92767613
TCGA-FD-A43X-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.701770339,0.128563043
TCGA-57-1583-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.577698317,8.297003199
TCGA-13-0908-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,2.016258087,8.174818445
TCGA-FP-7998-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-2.788679871,-2.064302276
TCGA-EB-A5SG-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.908657518,3.66141193
TCGA-K4-A3WS-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-4.171388182,0.297277216
TCGA-IG-A4QS-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-4.098969493,-3.641803573
TCGA-25-1329-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.549748507,7.838475157
TCGA-39-5036-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.630694899,2.038929154
TCGA-EL-A3CZ-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.50860735,0.889060665
TCGA-AO-A124-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,0.994708922,-1.505438517
TCGA-S3-A6ZF-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.2244167,-1.432497691
TCGA-G2-AA3D-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.636026892,-0.122220736
TCGA-AM-5820-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.105007682,-3.734213661
TCGA-A8-A09D-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.596243825,-1.703292202
TCGA-60-2707-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.928865466,1.078653027
TCGA-GU-AATQ-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-5.285721335,1.700278927
TCGA-GM-A5PX-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.92728087,-1.701314281
TCGA-X8-AAAR-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-3.482940707,-2.392899345
TCGA-05-4389-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.906588349,-2.483001303
TCGA-22-1012-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.541250739,2.39186566
TCGA-B8-4154-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.257429567,-6.845316957
TCGA-EE-A29W-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.01383492,3.413769413
TCGA-AN-A0XO-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,1.047520128,-1.46725459
TCGA-2Y-A9GW-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.830703315,3.862991978
TCGA-18-3417-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.353023562,0.685104002
TCGA-DD-A4NQ-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.159997832,3.332822491
TCGA-GD-A3OQ-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.796751532,0.113110058
TCGA-DX-A8BR-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.213387814,1.331900645
TCGA-91-6848-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,0.854852137,0.913657416
TCGA-SI-AA8C-01,,Nerve,TCGA Tumor,SARC,Nerve,0.484665964,1.065862943
TCGA-IB-7886-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.99402574,-2.633992266
TCGA-24-1555-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.79550704,8.479903628
TARGET-50-PALKCW-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.598041568,7.731759478
TCGA-BR-8679-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-3.802057299,-3.704520534
TCGA-A2-A4S3-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.381710019,-1.489780258
TCGA-13-0916-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.772019472,8.575407435
TCGA-AX-A2HH-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.381840911,6.510780264
TCGA-BP-4797-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,5.972537484,-5.894729685
TCGA-A2-A0D1-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.867047754,-1.327823352
TCGA-R6-A6DQ-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-3.725646529,-3.600319218
TCGA-AK-3461-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.223154035,-6.000289511
TCGA-AJ-A3IA-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.425410118,6.751676966
TCGA-AO-A0J3-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.935660806,-1.660221409
TCGA-CV-7183-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.459525142,0.216574211
TCGA-KB-A6F7-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.926523719,-1.98032267
TCGA-29-1781-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.670283642,8.500906397
TCGA-CG-4304-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.0164471,-3.673245024
TCGA-BF-A9VF-01,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,6.047512498,3.673052002
TCGA-DX-A8BL-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.021510031,0.977963556
TCGA-DD-AAW3-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,1.316309717,3.897832323
TCGA-B0-4693-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.333207574,-6.760856222
TCGA-25-1312-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.428744164,7.950227667
TCGA-A6-6654-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-5.840390715,-3.486280512
TCGA-C9-A480-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.917639766,0.64005052
TCGA-DD-AACN-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.460858316,3.596163679
TCGA-VQ-A925-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-3.743001971,-3.733743023
TCGA-A2-A25A-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.566642251,-1.638132285
TCGA-13-1482-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,2.005756464,8.32784598
TCGA-IB-A6UF-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-3.008816752,-2.617768596
TCGA-CK-5912-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.15917686,-3.768711161
TCGA-DK-A3WW-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-5.247229132,0.766361643
TCGA-2H-A9GQ-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-3.180362258,-1.803617548
TCGA-C8-A1HK-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.917345014,-1.196753572
TCGA-75-6203-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.344241175,-2.765947889
TCGA-EL-A3MX-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.38029715,-0.115141254
TCGA-63-A5MG-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-6.302703414,1.581510473
TCGA-29-1696-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.932176438,8.317003657
TCGA-43-7657-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.326650653,2.263509442
TCGA-IC-A6RE-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-4.85981277,-3.681185554
TCGA-EB-A44P-01,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.624713388,3.445735623
TCGA-6D-AA2E-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,5.670388665,-5.283313822
TCGA-CR-7402-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.143507514,1.593053747
TCGA-39-5035-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.807929072,0.797035028
TCGA-EM-A3O3-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,10.89769217,-0.269166033
TCGA-CZ-5455-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.105241742,-6.692634176
TCGA-BH-A0B5-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.728188958,-1.652182053
TCGA-94-A4VJ-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.724356208,1.056279708
TCGA-RC-A6M3-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.246994894,3.426237274
TCGA-HU-A4H8-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.178381953,-3.697146963
TCGA-36-1577-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.432162848,6.719321657
TCGA-36-1576-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.452524986,7.801018644
TCGA-E3-A3E5-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.53971335,-0.007938731
TCGA-CM-5349-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.06612638,-3.706033062
TCGA-2J-AAB6-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-3.052376542,-2.457529615
TCGA-AR-A0TR-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.384111371,-1.388480138
TCGA-24-2036-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.778034654,8.372726847
TCGA-49-AARO-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.093071643,-2.931595157
TCGA-BR-4367-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-3.796629939,-3.701261114
TCGA-06-2570-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.846022096,-9.396524023
TCGA-85-6175-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.547776255,0.661554981
TCGA-13-1511-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.695280876,7.849842955
TCGA-39-5024-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.922146354,1.582643319
TCGA-PQ-A6FI-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-6.490399871,0.573078979
TCGA-CV-6945-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.445841822,0.481553126
TCGA-AC-A2B8-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.47686049,-1.589952539
TCGA-B0-5080-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.304789033,-5.448707174
TCGA-06-2569-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,0.092986014,0.917903353
TCGA-KM-8439-01,,Kidney Cancer,TCGA Tumor,KICH,Kidney Cancer,-3.473511729,5.031804491
TCGA-25-1316-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.132764545,7.526990343
TCGA-H6-8124-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-3.258403096,-2.39751799
TCGA-EE-A3AE-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.772357431,3.597272087
TCGA-A8-A06T-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.057005849,-1.535050463
TCGA-D9-A3Z3-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,6.08008143,3.718038012
TCGA-DX-A1KZ-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.155938354,1.20515256
TCGA-BP-4787-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.149858918,-5.331787657
TCGA-55-6981-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.220507178,-2.857459616
TCGA-LL-A9Q3-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.102383342,-1.399222206
TCGA-55-7903-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.150490973,-3.122127127
TCGA-VT-A80G-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.627093997,1.144930292
TCGA-HZ-A8P0-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.990224156,-2.555687975
TCGA-BA-A4IH-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-5.676795516,1.477163483
TCGA-DM-A28A-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.139551673,-3.639142584
TCGA-13-2060-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.656846848,7.916955877
TCGA-49-AAR9-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-1.616514239,-2.456750463
TCGA-B6-A0RL-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.622549501,-1.586638402
TCGA-EL-A3CV-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.27390524,-0.21845008
TCGA-64-1680-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.298618409,-3.131526302
TCGA-09-1668-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.689256754,8.41879027
TCGA-49-4488-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,0.009329465,-2.985435795
TCGA-63-A5ML-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.252192054,2.519497801
TCGA-22-5477-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.353167567,2.456636835
TCGA-FY-A3NN-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.01410815,-0.654902052
TCGA-DD-AACU-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.738859501,3.849817921
TCGA-78-7537-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.449790094,-3.086887907
TCGA-BL-A5ZZ-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,0.516112719,0.850311328
TCGA-EL-A3T2-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.53104826,0.851989974
TCGA-98-A53H-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-0.780569944,-2.266414236
TCGA-A7-A26G-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,1.046680179,-1.222885441
TCGA-E2-A1LG-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,0.810796168,-1.372301172
TCGA-57-1586-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.685608711,8.438373018
TCGA-E7-A5KE-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.602520022,-0.238072376
TCGA-B8-4143-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.031449762,-5.539383482
TCGA-CQ-6228-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-5.859617743,2.375330378
TCGA-CV-7243-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.372494254,0.418202419
TCGA-58-A46M-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.273711715,2.461008478
TCGA-FY-A3BL-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,10.96204421,-0.632362555
TCGA-80-5611-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.454917881,-2.971930336
TCGA-FD-A3SQ-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.816776786,0.12577999
TCGA-CG-4465-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-5.008535418,-3.694498133
TCGA-04-1350-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.253125456,7.732619215
TCGA-63-A5MH-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.372688803,0.676975061
TCGA-D6-A6EP-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,0.538300094,1.174168636
TCGA-A7-A6VW-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,0.871082809,-1.380943965
TCGA-CQ-A4CE-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.51073173,0.248165537
TCGA-29-1699-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.624258366,8.5052418
TCGA-EL-A3CU-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.05536028,-0.419640105
TCGA-61-2109-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.774546352,8.50759833
TCGA-86-A4D0-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-1.350111756,-0.836263846
TCGA-CJ-5684-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.258918252,-6.835493635
TCGA-KH-A6WC-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-6.503227744,1.601973582
TCGA-60-2704-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.244985614,0.749458362
TCGA-EE-A3AA-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.378389325,3.459793974
TCGA-IB-AAUS-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.20690206,-2.217598986
TCGA-EO-A3B1-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.316237178,6.567567278
TCGA-AH-6549-01,,Colorectal Cancer,TCGA Tumor,READ,Colon/Colorectal Cancer,-5.837952647,-3.587079357
TCGA-97-7941-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-3.180302892,-2.601128887
TCGA-BD-A3ER-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,1.072360423,4.143129278
TARGET-50-CAAAAR-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-3.985388312,6.766766955
TCGA-CJ-5671-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.17042109,-5.573137831
TCGA-AC-A3W7-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.672595468,-1.514853786
TCGA-E2-A1LK-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,1.003322211,-1.545618724
TCGA-91-6840-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.350076887,-2.717582296
TCGA-DD-AAVY-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,1.316353109,3.880344082
TCGA-09-2051-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.792039242,8.607862879
TCGA-EI-6507-01,,Colorectal Cancer,TCGA Tumor,READ,Colon/Colorectal Cancer,-4.525307212,-3.463557552
TCGA-ET-A39S-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.5929341,0.214562167
TCGA-CE-A482-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.35466048,0.056729808
TCGA-HQ-A2OF-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-5.657498393,-3.263404201
TCGA-XV-A9VZ-01,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,-5.653176341,0.883760263
TCGA-A3-3370-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.21067616,-6.74652965
TCGA-A6-6649-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-5.008970294,-3.737939905
TCGA-B6-A0RT-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,0.346047689,-1.20031948
TCGA-DK-A1AG-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.680137667,0.092574492
TCGA-D7-6528-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-5.549789462,-3.558477234
TCGA-KO-8409-01,,Kidney Cancer,TCGA Tumor,KICH,Kidney Cancer,-3.539986405,5.085929323
TCGA-CJ-4634-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.406277147,-6.656811785
TCGA-R6-A6Y2-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-4.703374896,-2.254751753
TCGA-52-7811-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.803268943,1.32676952
TCGA-69-7978-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.057524982,-2.926419329
TCGA-50-5930-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-1.199248109,-2.207886051
TCGA-CV-7252-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.891655955,0.638724435
TCGA-D8-A1Y3-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.188024249,-1.732561897
TCGA-CQ-7063-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.838144812,0.651101757
TCGA-QQ-A5V9-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.360533204,1.108690549
TCGA-06-2559-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.396385517,-9.079615187
TCGA-HV-A5A3-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-3.249110732,-2.655825685
TCGA-A8-A07C-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,0.903494861,-1.553204488
TCGA-BJ-A0YZ-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.54635378,0.89733528
TCGA-93-8067-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-1.188761744,-2.272567819
TCGA-06-0139-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.275782254,-9.07084329
TCGA-E3-A3E1-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.05608031,-0.528537344
TCGA-A8-A06U-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.413834062,-1.449522208
TCGA-CV-7101-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.067264113,2.318812061
TCGA-AG-3592-01,,Colorectal Cancer,TCGA Tumor,READ,Colon/Colorectal Cancer,-6.063822779,-3.763485741
TCGA-D3-A8GK-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,6.099751439,3.815527369
TCGA-AX-A3G7-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.833560672,8.302679468
TCGA-BA-A4IG-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-5.952046904,2.308488299
TCGA-29-1766-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.475184407,7.882795263
TCGA-D8-A73W-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.671387639,-1.078111957
TCGA-B0-4848-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.111394849,-5.684826921
TCGA-AH-6547-01,,Colorectal Cancer,TCGA Tumor,READ,Colon/Colorectal Cancer,-5.651325259,-3.711920809
TCGA-E9-A245-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.958565202,-1.652239632
TCGA-CR-7377-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.481071982,0.411759723
TCGA-34-2596-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.326812777,2.469766308
TCGA-B6-A0X0-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.488450494,-1.589735459
