,case_id3,cancer_type,cell_type,Diagnosis_TCGA_HCMI_Code,CCLE_Disease,umap1,umap2
HCM-CSHL-0160-C18-85A,HCM-CSHL-0160-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.688293013,-3.041688513
HCM-CSHL-0161-C18-85A,HCM-CSHL-0161-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.783596072,-2.621781181
HCM-CSHL-0162-C19-85A,HCM-CSHL-0162-C19,Colorectal Cancer,HCMI Model,READ,Colon/Colorectal Cancer,-5.962217364,-2.701391052
HCM-CSHL-0164-C20-85A,HCM-CSHL-0164-C20,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.795703921,-2.629336189
HCM-CSHL-0174-C22-85A,HCM-CSHL-0174-C22,Intrahepatic Cholangiocarcinoma,HCMI Model,CHOL,Bile Duct Cancer,-1.839944634,-2.282058548
HCM-CSHL-0176-C25-85A,HCM-CSHL-0176-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.896410498,-2.799927543
HCM-CSHL-0177-C25-85A,HCM-CSHL-0177-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.767328057,-2.870878052
HCM-CSHL-0178-C25-85A,HCM-CSHL-0178-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.891204629,-3.006916593
HCM-CSHL-0179-C25-85A,HCM-CSHL-0179-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.749339137,-2.834900926
HCM-CSHL-0180-C25-85B,HCM-CSHL-0180-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.772177968,-2.839985918
HCM-CSHL-0181-C25-85B,HCM-CSHL-0181-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.785854611,-3.029221128
HCM-CSHL-0182-C25-85A,HCM-CSHL-0182-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.869198594,-2.922754835
HCM-CSHL-0183-C25-85A,HCM-CSHL-0183-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.987222466,-2.975385736
