case,tumor_id,tumor_n_wgd,tumor_fraction_diploid,model_id,model_type,model_n_wgd,model_fraction_diploid,cancer_type,loh_union,loh_match,loh_shared,loh_model,loh_tumor,cn_equal,cn_equal_wgd,cn_mean_sq_diff,cn_mean_sq_diff_wgd,cn_correlation,tumor_consensus_purity,tumor_consensus_ploidy,model_consensus_purity,model_consensus_ploidy,is_wgd_tumor,is_wgd_model,wgd_status
HCM-BROD-0028-C71,HCM-BROD-0028-C71-01A,0,0.8224351039592415,HCM-BROD-0028-C71-85A,model,0,0.7800261916294423,GBM,0.1558043162370163,0.5382843983880253,0.9280627163948837,0.061119781856017796,0.010817501749098542,0.900062209536356,0.900062209536356,0.10218831192593406,0.10218831192593406,0.7463692229129338,0.569926,1.984321396,0.996116667,1.870017043,False,False,Both diploid
HCM-BROD-0035-C49,HCM-BROD-0035-C49-06A,0,0.9693593814469978,HCM-BROD-0035-C49-85M,model,0,0.9145901727571175,SARC,0.04090199666325817,0.1355263157894737,0.9646413002529466,0.032900992052813806,0.0024577076942396353,0.9373785517873511,0.9373785517873511,0.09807516040329972,0.09807516040329972,0.5746497158796611,0.36,2.036666667,0.821736829,2.021844316,False,False,Both diploid
HCM-BROD-0036-C41,HCM-BROD-0036-C41-06A,0,0.9927345137506055,HCM-BROD-0036-C41-85A,model,0,0.820300306764975,SARC,0.0802073802988716,0.0033549541489599644,0.9200617117844393,0.07981271191001561,0.00012557630554509087,0.8293611927304386,0.8293611927304386,0.1790728044400914,0.1790728044400914,0.09866708224595597,0.243333333,1.963333333,0.956798167,1.979599662,False,False,Both diploid
HCM-BROD-0041-C64,HCM-BROD-0041-C64-01A,0,0.7696930556303033,HCM-BROD-0041-C64-85A,model,0,0.7771379366019052,WT,0.20189082037206466,0.4512173449440199,0.8892058195647884,0.02762678721991999,0.08316739321529161,0.7915912291289479,0.7915912291289479,0.3531391159634974,0.3531391159634974,0.2556977089299215,0.8714045,1.912857301,0.986,1.9925,False,False,Both diploid
HCM-BROD-0045-C16,HCM-BROD-0045-C16-06A,0,0.9844464775846294,HCM-BROD-0045-C16-85A,model,1,0.008485370360403997,STAD,0.31112426672407295,0.0012685233235311076,0.689270401664783,0.3061370934467108,0.00459250488850618,0.07739254642254252,0.2900736453521806,3.394475671063127,1.5523030404214666,0.2524431518651134,0.240801225,1.956666667,0.986182,3.3375,False,True,Model WGD
HCM-BROD-0047-C71,HCM-BROD-0047-C71-02A,0,0.5649498591751431,HCM-BROD-0047-C71-85B,model,0,0.4384586405467951,GBM,0.46131352815600163,0.722846587594789,0.8721453814828768,0.12125289273989559,0.006601725777227634,0.8240443964175168,0.8240443964175168,0.18218282386124288,0.18218282386124288,0.7982832580525238,0.845475833,1.676132628,0.988718833,1.64,False,False,Both diploid
HCM-BROD-0048-C71,HCM-BROD-0048-C71-01A,0,0.8578296826507364,HCM-BROD-0048-C71-85A,model,0,0.8542597276788116,GBM,0.07977683296557415,0.9781875421632561,0.9982598711945895,0.0005740631110632725,0.0011660656943472724,0.9854713225981545,0.9854713225981545,0.015324769314275375,0.015324769314275375,0.9783841048911698,0.615,1.99,0.996666667,1.968570243,False,False,Both diploid
HCM-BROD-0051-C64,HCM-BROD-0051-C64-06B,0,0.9599949769477782,HCM-BROD-0051-C64-85A,model,0,0.9167787883680462,WT,0.050876343217982525,0.04548660084626234,0.9514378486984912,0.02093536408158872,0.02762678721991999,0.9268796924304523,0.9268796924304523,0.07834318668165827,0.07834318668165827,-0.013603203664466433,0.9,1.74,0.9968252,2.017712933,False,False,Both diploid
HCM-BROD-0053-C49,HCM-BROD-0053-C49-06A,0,0.9946899162226648,HCM-BROD-0053-C49-85M,model,1,0.0005023052221803635,SARC,0.11337746443499633,0.0018987341772151898,0.8868378092316525,0.11294691710169887,0.0002152736666487272,0.04926771581915765,0.6275993814245429,4.243755116892568,1.1141271718366232,-0.02714140241615177,0.52,1.996494902,0.96,3.78,False,True,Model WGD
HCM-BROD-0055-C64,HCM-BROD-0055-C64-01A,0,0.9641928134474284,HCM-BROD-0055-C64-85A,model,0,0.9643722081696356,WT,0.00046642627773890895,0.7692307692307693,0.9998923631666756,7.175788888290906e-05,3.587894444145453e-05,0.9997291734373307,0.9997291734373307,0.00043332250027082654,0.00043332250027082654,0.9927161886221211,0.97,2.1125,1.0,2.006666667,False,False,Both diploid
HCM-BROD-0095-C15,HCM-BROD-0095-C15-06A,1,0.3137075507238577,HCM-BROD-0095-C15-85A,model,1,0.31340257969610535,ESCA,0.3546454263315573,0.9897313976427741,0.9963582871391924,0.0006996394166083634,0.0029420734441992715,0.9924953095684803,0.9924953095684803,0.01686715962182246,0.01686715962182246,0.9898040367135522,0.45,2.5,0.9971855,2.52712729,True,True,Both WGD
HCM-BROD-0097-C15,HCM-BROD-0097-C15-06A,1,0.004072260194105089,HCM-BROD-0097-C15-85B,model,1,0.005328023249555998,ESCA,0.40500152485513874,0.9235914245216159,0.9690544104192454,0.02448737958129272,0.006458209999461816,0.6508654825206471,0.6508654825206471,0.6909152619074556,0.6909152619074556,0.859851071803536,0.807459333,3.742572009,0.99,3.4025,True,True,Both WGD
HCM-BROD-0098-C15,HCM-BROD-0098-C15-06A,1,0.011732414832355632,HCM-BROD-0098-C15-85A,model,1,0.01194768849900436,ESCA,0.48316380532084746,0.9795046968403074,0.9900974113341585,0.003713470749690544,0.006189117916150907,0.9507177574318978,0.9507177574318978,0.084397724275649,0.084397724275649,0.9650149456045668,0.7929192,2.839343634,0.992199667,2.825338864,True,True,Both WGD
