cancer_type,gene,event,note,count
GBM,MSH6,truncating,both,1
GBM,MTOR,missense,model-only,1
GBM,MTOR,truncating,model-only,1
GBM,PTCH1,missense,tumor-only,1
GBM,PTEN,truncating,tumor-only,1
BRCA,TSC1,missense,both,1
GBM,PMS2,missense,both,1
GBM,PMS2,truncating,both,1
GBM,PIK3CB,missense,model-only,1
GBM,PIK3CB,missense,tumor-only,1
GBM,PIK3R1,deletion,both,1
GBM,PIK3R1,truncating,both,1
GBM,SMARCB1,missense,tumor-only,1
GBM,SMC1A,missense,both,1
GBM,PSIP1,missense,model-only,1
GBM,PSIP1,missense,tumor-only,1
GBM,PIK3R2,missense,model-only,1
GBM,PLCB4,missense,model-only,1
GBM,PLCG1,missense,both,1
GBM,PLXNB2,missense,model-only,1
GBM,PMS1,missense,model-only,1
GBM,PMS1,missense,tumor-only,1
GBM,PTPRC,missense,model-only,1
GBM,PTPRC,truncating,model-only,1
GBM,PMS2,truncating,model-only,1
GBM,POLE,missense,model-only,1
GBM,POLE,truncating,both,1
GBM,POLQ,missense,model-only,1
GBM,POLRMT,missense,tumor-only,1
GBM,POLRMT,truncating,both,1
BRCA,SIN3A,missense,tumor-only,1
BRCA,SMAD2,missense,both,1
BRCA,SMARCA1,missense,both,1
CHOL,DIAPH2,truncating,both,1
CHOL,DICER1,missense,both,1
CHOL,DMD,truncating,both,1
CHOL,EP300,missense,model-only,1
GBM,PTPN11,missense,tumor-only,1
GBM,RB1,missense,both,1
GBM,RB1,truncating,model-only,1
GBM,RBM10,truncating,tumor-only,1
GBM,TRAF3,missense,tumor-only,1
GBM,TSC1,missense,tumor-only,1
GBM,TSC2,missense,both,1
GBM,USP9X,missense,both,1
GBM,USP9X,missense,model-only,1
GBM,RPL22,missense,both,1
GBM,RUNX1,missense,model-only,1
GBM,SCAF4,missense,model-only,1
GBM,SCAF4,missense,tumor-only,1
GBM,PTPRD,truncating,both,1
GBM,RAF1,missense,model-only,1
GBM,RARA,missense,model-only,1
GBM,RARA,missense,tumor-only,1
GBM,SIN3A,missense,model-only,1
GBM,SMAD4,missense,tumor-only,1
GBM,SMARCA1,missense,tumor-only,1
GBM,SMARCA4,missense,both,1
GBM,RFC1,missense,model-only,1
GBM,RHOB,missense,tumor-only,1
GBM,RNF43,missense,both,1
GBM,RNF43,truncating,tumor-only,1
GBM,SMC3,missense,model-only,1
GBM,SOX2,hlamp,both,1
GBM,SOX9,missense,tumor-only,1
GBM,SOX9,truncating,both,1
GBM,SETBP1,missense,model-only,1
GBM,SETD2,missense,both,1
GBM,SETD2,missense,model-only,1
GBM,SF1,missense,tumor-only,1
IPMN,ATM,truncating,model-only,1
IPMN,BRD4,hlamp,tumor-only,1
IPMN,CDKN2A,homdel,model-only,1
IPMN,ERBB4,missense,model-only,1
HNSC,JAK2,missense,both,1
HNSC,NOTCH1,missense,both,1
HNSC,PIK3CA,missense,both,1
HNSC,PIK3CB,missense,both,1
GBM,STAG2,truncating,both,1
GBM,STK11,missense,both,1
GBM,STK11,missense,model-only,1
GBM,TAF1,missense,both,1
HNSC,TERC,hlamp,model-only,1
HNSC,TERT,hlamp,both,1
HNSC,TP53,missense,both,1
HNSC,ZNF750,truncating,both,1
GBM,TBX3,truncating,both,1
GBM,TCF12,missense,model-only,1
GBM,TET2,missense,both,1
GBM,TGFBR2,missense,model-only,1
GBM,TGFBR2,truncating,model-only,1
GBM,TGIF1,missense,model-only,1
GBM,SPTA1,missense,model-only,1
GBM,STAG2,missense,model-only,1
GBM,WT1,missense,both,1
GBM,XPO1,missense,model-only,1
GBM,THRAP3,missense,model-only,1
GBM,THRAP3,missense,tumor-only,1
GBM,TLR4,missense,model-only,1
GBM,TP53,truncating,model-only,1
GBM,TRAF3,missense,both,1
GBM,TAF1,missense,tumor-only,1
LIHC,NOTCH1,missense,model-only,1
LIHC,RIT1,hlamp,both,1
LIHC,SAV1,homdel,tumor-only,1
KIRC,PBRM1,truncating,model-only,1
KIRC,PIK3CA,missense,tumor-only,1
KIRC,PLXNB2,missense,model-only,1
KIRC,RNF43,deletion,both,1
KIRC,SETD2,truncating,both,1
GBM,ZMYM2,missense,model-only,1
GBM,ZNF133,missense,both,1
HNSC,AJUBA,truncating,both,1
LIHC,EPHA2,missense,both,1
LIHC,FGFR1,hlamp,both,1
LIHC,KEL,truncating,both,1
LIHC,MCL1,hlamp,both,1
LIHC,MDM4,hlamp,both,1
HNSC,EGFR,hlamp,both,1
HNSC,FGF1,hlamp,model-only,1
HNSC,HLA-A,missense,both,1
HNSC,HUWE1,missense,tumor-only,1
GBM,ZBTB7B,missense,both,1
GBM,ZCCHC12,missense,tumor-only,1
GBM,ZFHX3,missense,both,1
GBM,ZFP36L2,missense,model-only,1
HNSC,PTMA,missense,both,1
HNSC,PTPRD,hlamp,both,1
HNSC,RFC1,missense,model-only,1
HNSC,SOX2,hlamp,model-only,1
HNSC,CCND1,hlamp,tumor-only,1
HNSC,CD274,hlamp,both,1
HNSC,CDKN2A,homdel,model-only,1
HNSC,DMD,missense,both,1
LUAD,COL5A1,missense,tumor-only,1
LUAD,CREBBP,missense,model-only,1
LUAD,CYSLTR2,missense,both,1
LUAD,BRCA2,missense,tumor-only,1
LUAD,CBFB,truncating,both,1
LUAD,CD70,missense,both,1
LUAD,CDKN1B,truncating,both,1
LUAD,CDKN2A,truncating,both,1
IPMN,NIPBL,truncating,model-only,1
IPMN,RBM10,truncating,model-only,1
IPMN,RIT1,hlamp,tumor-only,1
LUAD,CEBPA,missense,model-only,1
LUAD,CHD4,missense,tumor-only,1
LUAD,CHEK2,missense,both,1
LUAD,CIC,missense,tumor-only,1
LUAD,CNBD1,missense,both,1
KIRC,AMER1,missense,both,1
KIRC,ARID1A,truncating,model-only,1
KIRC,CARD11,missense,model-only,1
IPMN,ESR1,missense,model-only,1
IPMN,GNAS,missense,model-only,1
IPMN,KRAS,missense,both,1
IPMN,MCL1,hlamp,tumor-only,1
IPMN,MUC6,truncating,model-only,1
KIRC,TP53,missense,both,1
KIRC,VHL,truncating,both,1
LIHC,CACNA1A,missense,model-only,1
IPMN,RUNX1,missense,model-only,1
IPMN,TP53,missense,tumor-only,1
KICH,CDKN1A,truncating,both,1
KICH,CHD4,deletion,both,1
KICH,DACH1,missense,model-only,1
LUAD,GRIN2D,missense,both,1
LUAD,HUWE1,missense,model-only,1
LUAD,EGFR,truncating,both,1
LUAD,EGFR,truncating,model-only,1
LUAD,EPAS1,missense,model-only,1
LUAD,ERBB4,truncating,both,1
LUAD,ESR1,missense,both,1
LUAD,FBXW7,missense,both,1
LUAD,JAK3,missense,both,1
LUAD,KANSL1,missense,both,1
LUAD,KDM5C,missense,tumor-only,1
LUAD,FLNA,missense,model-only,1
LUAD,FLNA,truncating,both,1
LUAD,FUBP1,missense,both,1
LUAD,GABRA6,missense,both,1
LUAD,GABRA6,missense,tumor-only,1
LIHC,SPTAN1,missense,both,1
LIHC,ZNF703,hlamp,both,1
LUAD,AJUBA,missense,tumor-only,1
LUAD,IDH1,missense,both,1
LUAD,IL7R,truncating,both,1
LUAD,IRF6,missense,both,1
LUAD,JAK1,missense,both,1
LUAD,JAK2,missense,tumor-only,1
LUAD,ARID2,missense,both,1
LUAD,ARID5B,truncating,model-only,1
LUAD,ATM,missense,model-only,1
LUAD,ATR,missense,both,1
LUAD,BCL2L11,missense,both,1
LUAD,BCOR,truncating,model-only,1
LIHC,SCAF4,missense,both,1
LIHC,SPTA1,missense,model-only,1
BRCA,RASA1,truncating,tumor-only,1
BRCA,PIK3R1,truncating,model-only,1
BRCA,PLCB4,missense,both,1
BRCA,PLCG1,truncating,both,1
BRCA,PLXNB2,missense,both,1
BRCA,PMS1,missense,both,1
BRCA,POLE,missense,both,1
BRCA,PPM1D,missense,both,1
BRCA,RPS6KA3,missense,tumor-only,1
BRCA,PTCH1,missense,model-only,1
BRCA,PTEN,missense,both,1
BRCA,PTEN,truncating,both,1
BRCA,PTPN11,truncating,model-only,1
BRCA,PTPRC,missense,model-only,1
BRCA,PTPRD,truncating,both,1
BRCA,RAF1,missense,model-only,1
LUAD,EGFR,hlamp,model-only,1
LUAD,NF1,missense,both,1
LUAD,NF1,truncating,both,1
LUAD,NF2,truncating,both,1
LUAD,NFE2L2,missense,both,1
BRCA,RFC1,missense,both,1
BRCA,RNF111,truncating,model-only,1
BRCA,RNF43,missense,tumor-only,1
LUAD,FGFR1,missense,both,1
LUAD,DACH1,missense,both,1
LUAD,DACH1,truncating,both,1
LUAD,DDX3X,missense,both,1
LUAD,DDX3X,truncating,both,1
LUAD,DIAPH2,missense,tumor-only,1
LUAD,DMD,missense,both,1
LUAD,EEF1A1,missense,model-only,1
LUAD,MACF1,truncating,both,1
LUAD,MACF1,truncating,model-only,1
LUAD,KIF1A,missense,tumor-only,1
LUAD,KMT2A,missense,model-only,1
LUAD,KMT2A,missense,tumor-only,1
LUAD,KMT2B,missense,both,1
LUAD,SMARCB1,missense,both,1
LUAD,SOS1,truncating,both,1
LUAD,MGA,missense,model-only,1
LUAD,MGA,truncating,model-only,1
LUAD,MSH3,truncating,both,1
LUAD,MTOR,missense,both,1
LUAD,MYH9,missense,both,1
LUAD,KMT2B,missense,model-only,1
LUAD,KMT2C,missense,tumor-only,1
LUAD,KMT2D,missense,model-only,1
BRCA,TNFAIP3,missense,model-only,1
BRCA,TP53,truncating,both,1
LUAD,PAX5,missense,both,1
LUAD,PBRM1,missense,both,1
LUAD,PDGFRA,missense,both,1
LUAD,MED12,missense,both,1
LUAD,MET,missense,model-only,1
LUAD,MGA,missense,both,1
BRCA,NSD1,truncating,both,1
BRCA,NUP93,missense,both,1
BRCA,PBRM1,missense,both,1
BRCA,PHF6,missense,model-only,1
BRCA,PIK3CA,missense,model-only,1
BRCA,PIK3CB,missense,both,1
BRCA,PIK3CG,missense,model-only,1
BRCA,TMSB4X,missense,model-only,1
LUAD,PMS2,truncating,both,1
LUAD,POLE,missense,both,1
LUAD,POLRMT,missense,both,1
LUAD,PPP2R1A,truncating,both,1
LUSC,POLRMT,missense,both,1
LUSC,RFC1,missense,tumor-only,1
LUSC,SOX2,hlamp,tumor-only,1
LUSC,SPTAN1,missense,tumor-only,1
LUAD,PTPRD,missense,both,1
LUAD,PTPRD,truncating,both,1
LUAD,RAF1,missense,both,1
LUAD,RAF1,missense,tumor-only,1
LUAD,RBM10,truncating,both,1
LUAD,PGR,missense,both,1
LUAD,PGR,missense,tumor-only,1
LUAD,PLXNB2,missense,both,1
LUAD,SETBP1,missense,model-only,1
LUAD,SETD2,truncating,both,1
LUAD,SIN3A,truncating,tumor-only,1
LUAD,SMARCA1,missense,both,1
LUAD,SMARCA4,truncating,both,1
LUAD,PTCH1,missense,model-only,1
LUAD,PTPDC1,missense,both,1
LUAD,PTPRC,missense,both,1
LUAD,SOX9,missense,tumor-only,1
LUAD,STAG2,truncating,model-only,1
LUAD,STK11,missense,both,1
LUAD,STK11,missense,model-only,1
LUAD,STK11,missense,tumor-only,1
LUAD,RFC1,truncating,both,1
LUAD,RNF43,missense,both,1
LUAD,SETBP1,missense,both,1
LUAD,TLR4,truncating,model-only,1
OV,GRIN2D,missense,model-only,1
OV,HUWE1,missense,model-only,1
OV,KEAP1,missense,both,1
OV,MACF1,missense,tumor-only,1
OV,MCL1,hlamp,tumor-only,1
OV,MYC,hlamp,both,1
OV,MYC,hlamp,tumor-only,1
LUSC,ARID1A,truncating,both,1
LUSC,CCND1,hlamp,both,1
LUSC,CCND2,hlamp,both,1
LUAD,STK11,truncating,both,1
LUAD,TBX3,missense,both,1
LUAD,TBX3,missense,model-only,1
LUAD,TGFBR2,missense,tumor-only,1
LUAD,TLR4,missense,both,1
LUSC,KMT2D,missense,both,1
LUSC,KRAS,hlamp,both,1
LUSC,LATS1,missense,both,1
LUSC,NF1,missense,both,1
LUAD,UNCX,missense,both,1
LUAD,WT1,missense,both,1
LUAD,XPO1,missense,both,1
LUAD,ZFHX3,missense,both,1
LUSC,TERC,hlamp,tumor-only,1
LUSC,TERT,promoter,both,1
LUSC,TP53,missense,both,1
LUSC,USP9X,missense,both,1
LUSC,CDK6,hlamp,both,1
LUSC,CDKN2A,truncating,both,1
LUSC,CUL3,missense,both,1
LUSC,JAK2,missense,both,1
PAAD,ACVR2A,missense,both,1
PAAD,ACVR2A,missense,model-only,1
PAAD,ACVR2A,truncating,model-only,1
PAAD,ALB,missense,tumor-only,1
PAAD,AMER1,missense,both,1
PAAD,AMER1,truncating,both,1
PAAD,APC,missense,both,1
OV,TP53,truncating,model-only,1
MISC,CD44,hlamp,both,1
MISC,ERBB2,missense,both,1
MISC,ERBB4,missense,tumor-only,1
MISC,FLNA,missense,model-only,1
MISC,HGF,missense,tumor-only,1
MISC,MED12,missense,both,1
MISC,MTOR,missense,model-only,1
MISC,MYC,hlamp,both,1
MISC,NF1,missense,both,1
OV,BCOR,missense,model-only,1
OV,BRD4,hlamp,both,1
OV,CASP8,missense,both,1
OV,CCNE1,hlamp,both,1
OV,CDKN2A,missense,both,1
OV,CDKN2A,truncating,model-only,1
OV,CSDE1,truncating,both,1
OV,CTNNB1,missense,both,1
OV,EPAS1,missense,both,1
OV,EPAS1,missense,tumor-only,1
OV,FAT1,missense,tumor-only,1
OV,FGFR2,missense,tumor-only,1
OV,FLT3,missense,both,1
OV,FOXA1,missense,tumor-only,1
OV,GNAS,missense,both,1
PAAD,CIC,truncating,both,1
PAAD,CNBD1,missense,both,1
PAAD,COL5A1,missense,model-only,1
PAAD,CREBBP,missense,both,1
PAAD,CTNNB1,deletion,both,1
PAAD,CDK12,truncating,both,1
PAAD,CDKN2A,missense,model-only,1
PAAD,ATM,truncating,model-only,1
OV,NIPBL,missense,tumor-only,1
OV,NSD1,missense,tumor-only,1
OV,PIK3CG,missense,tumor-only,1
OV,PIK3R2,missense,tumor-only,1
OV,PLXNB2,missense,tumor-only,1
PAAD,CHD3,missense,both,1
PAAD,CHD4,missense,both,1
PAAD,CIC,missense,both,1
OV,RPL5,truncating,model-only,1
OV,SETBP1,missense,model-only,1
OV,SMAD4,missense,both,1
OV,SPTA1,missense,model-only,1
OV,TNFAIP3,missense,both,1
OV,NF1,homdel,both,1
OV,NF2,truncating,both,1
OV,NFE2L2,deletion,model-only,1
OV,USP9X,missense,tumor-only,1
OV,XPO1,missense,both,1
OV,ZFHX3,missense,model-only,1
OV,ZNF133,missense,tumor-only,1
PAAD,ACVR1B,missense,model-only,1
PAAD,ACVR1B,truncating,both,1
OV,PPP2R1A,missense,model-only,1
OV,RPL22,missense,tumor-only,1
PAAD,FGFR3,missense,both,1
PAAD,EEF2,missense,model-only,1
PAAD,EGFR,missense,both,1
PAAD,EGFR,truncating,model-only,1
PAAD,ELF3,truncating,model-only,1
PAAD,EP300,missense,model-only,1
PAAD,EPAS1,missense,both,1
PAAD,EPHA2,missense,tumor-only,1
PAAD,GNAS,missense,model-only,1
PAAD,ERBB2,hlamp,model-only,1
PAAD,ERBB2,hlamp,tumor-only,1
PAAD,ERBB4,missense,both,1
PAAD,ERBB4,missense,model-only,1
PAAD,ERBB4,truncating,both,1
PAAD,FBXW7,missense,model-only,1
PAAD,FGFR2,missense,both,1
PAAD,ARID1A,truncating,model-only,1
PAAD,ARID5B,missense,both,1
PAAD,ASXL2,truncating,both,1
PAAD,ATM,missense,tumor-only,1
PAAD,ATM,truncating,both,1
PAAD,FGFR3,missense,tumor-only,1
PAAD,GABRA6,missense,model-only,1
PAAD,GNA13,missense,both,1
PAAD,ATR,missense,model-only,1
PAAD,BCOR,truncating,model-only,1
PAAD,BRAF,deletion,both,1
PAAD,BRAF,missense,both,1
PAAD,BRCA2,missense,model-only,1
PAAD,CACNA1A,missense,model-only,1
PAAD,CARD11,missense,model-only,1
PAAD,APC,truncating,both,1
PAAD,KLF5,missense,model-only,1
PAAD,KMT2A,missense,both,1
PAAD,HGF,missense,model-only,1
PAAD,HLA-A,missense,both,1
PAAD,HLA-B,truncating,both,1
PAAD,HLA-B,truncating,model-only,1
PAAD,HRAS,missense,model-only,1
PAAD,INPPL1,truncating,both,1
PAAD,KMT2C,missense,tumor-only,1
PAAD,KMT2C,truncating,both,1
PAAD,KMT2D,deletion,both,1
PAAD,JAK3,missense,both,1
PAAD,KANSL1,truncating,model-only,1
PAAD,KDM5C,truncating,both,1
PAAD,KIF1A,missense,model-only,1
PAAD,KIT,missense,both,1
PAAD,DNMT3A,missense,both,1
PAAD,KMT2D,missense,both,1
PAAD,LATS1,missense,both,1
PAAD,MACF1,deletion,model-only,1
PAAD,KMT2B,missense,both,1
PAAD,KMT2B,truncating,both,1
PAAD,KMT2C,insertion,both,1
PAAD,KMT2C,missense,both,1
PAAD,ERBB2,hlamp,both,1
PAAD,CTNNB1,missense,model-only,1
PAAD,CTNND1,missense,both,1
PAAD,CTNND1,truncating,both,1
PAAD,CUL3,truncating,both,1
PAAD,DDX3X,truncating,both,1
PAAD,DICER1,truncating,both,1
PAAD,DMD,missense,both,1
BRCA,MSH6,truncating,both,1
BRCA,MTOR,missense,both,1
BRCA,MAP2K4,truncating,both,1
BRCA,MAP3K1,missense,both,1
BRCA,MAP3K4,missense,model-only,1
BRCA,MCL1,hlamp,model-only,1
BRCA,MCL1,hlamp,tumor-only,1
BRCA,MECOM,missense,both,1
BRCA,NCOR1,missense,model-only,1
BRCA,NF1,truncating,both,1
BRCA,MET,missense,tumor-only,1
BRCA,MGA,missense,model-only,1
BRCA,MGA,truncating,both,1
BRCA,MLH1,missense,model-only,1
BRCA,MSH2,truncating,both,1
BRCA,MSH3,missense,tumor-only,1
BRCA,NRAS,missense,both,1
BRCA,NSD1,missense,model-only,1
BRCA,MYC,hlamp,both,1
BRCA,MYC,hlamp,tumor-only,1
BRCA,MYC,missense,both,1
BRCA,MYCN,missense,model-only,1
BRCA,MYD88,missense,model-only,1
BRCA,MYH9,missense,both,1
PAAD,IRF6,missense,both,1
PAAD,JAK1,missense,tumor-only,1
PAAD,NIPBL,missense,both,1
PAAD,NOTCH1,missense,both,1
PAAD,NOTCH1,truncating,model-only,1
PAAD,NOTCH2,missense,both,1
BRCA,NOTCH1,truncating,model-only,1
BRCA,NOTCH2,missense,both,1
PAAD,MAP2K4,missense,both,1
PAAD,MAP3K4,missense,both,1
PAAD,MDM2,hlamp,tumor-only,1
PAAD,SCAF4,truncating,both,1
PAAD,SETD2,truncating,both,1
PAAD,SETD2,truncating,model-only,1
PAAD,SF1,missense,model-only,1
PAAD,RAC1,missense,model-only,1
PAAD,MUC6,deletion,model-only,1
PAAD,MUC6,missense,model-only,1
PAAD,MUC6,truncating,both,1
PAAD,MACF1,missense,both,1
PAAD,MACF1,missense,model-only,1
PAAD,MACF1,missense,tumor-only,1
PAAD,MAP2K1,missense,both,1
PAAD,MAP2K4,homdel,model-only,1
PAAD,MYC,missense,both,1
PAAD,MYH9,missense,both,1
PAAD,NCOR1,missense,both,1
PAAD,NFE2L2,truncating,model-only,1
PAAD,MECOM,missense,both,1
PAAD,MED12,missense,tumor-only,1
PAAD,MGMT,missense,model-only,1
PAAD,MSH6,truncating,both,1
BRCA,MED12,truncating,both,1
BRCA,RB1,missense,tumor-only,1
BRCA,RBM10,missense,both,1
BRCA,RBM10,missense,model-only,1
BRCA,RET,missense,model-only,1
PAAD,NOTCH2,missense,model-only,1
PAAD,NSD1,truncating,both,1
PAAD,PAX5,missense,both,1
PAAD,TERT,promoter,model-only,1
PAAD,TET2,missense,both,1
PAAD,TGFBR2,truncating,tumor-only,1
PAAD,TP53,deletion,both,1
PAAD,SMARCA4,missense,tumor-only,1
PAAD,SOS1,missense,model-only,1
PAAD,SOX17,missense,tumor-only,1
PAAD,SOX9,missense,both,1
PAAD,PIK3CG,missense,both,1
PAAD,PIK3R1,missense,both,1
PAAD,PIM1,truncating,model-only,1
PAAD,VHL,missense,tumor-only,1
PAAD,ZFHX3,missense,model-only,1
PAAD,ZFP36L2,truncating,both,1
PAAD,ZMYM3,truncating,both,1
PAAD,TAF1,missense,both,1
PAAD,POLE,truncating,both,1
PAAD,PPM1D,missense,both,1
PAAD,PSIP1,deletion,both,1
PAAD,PTPN11,truncating,both,1
PAAD,PTPRD,missense,both,1
PAAD,PGR,missense,model-only,1
PAAD,PGR,missense,tumor-only,1
PAAD,PIK3CA,missense,both,1
PAAD,RAF1,missense,both,1
PAAD,RBM10,truncating,both,1
PAAD,RET,missense,both,1
PAAD,RFC1,missense,tumor-only,1
PAAD,RNF111,missense,both,1
PAAD,RNF43,deletion,both,1
PAAD,PLXNB2,missense,model-only,1
PAAD,POLE,missense,both,1
READ,ARID2,truncating,both,1
READ,ASXL1,truncating,model-only,1
READ,ASXL2,missense,both,1
READ,AJUBA,missense,both,1
READ,ALK,missense,model-only,1
READ,ALK,truncating,both,1
READ,AMER1,missense,both,1
READ,AMER1,truncating,both,1
READ,ATRX,missense,model-only,1
READ,AXIN1,missense,model-only,1
READ,AXIN1,truncating,tumor-only,1
READ,B2M,truncating,both,1
READ,ARAF,missense,model-only,1
READ,ARID1A,missense,model-only,1
READ,ARID1A,truncating,both,1
READ,ARID2,missense,model-only,1
READ,BCOR,missense,both,1
READ,BCOR,missense,model-only,1
READ,BRAF,truncating,both,1
READ,BRCA1,missense,model-only,1
READ,CASP8,truncating,model-only,1
READ,ATM,truncating,both,1
READ,ATR,missense,both,1
READ,ATR,missense,model-only,1
PAAD,SOX9,truncating,both,1
PAAD,STK11,missense,model-only,1
PAAD,SMAD4,homdel,tumor-only,1
PAAD,SMAD4,missense,model-only,1
PAAD,SMAD4,truncating,tumor-only,1
PAAD,SMARCA1,missense,both,1
PAAD,SMARCA1,missense,model-only,1
READ,BCL2L11,missense,model-only,1
BRCA,KDM6A,missense,model-only,1
BRCA,GATA3,hlamp,model-only,1
BRCA,GRIN2D,missense,both,1
BRCA,GRIN2D,missense,tumor-only,1
BRCA,HGF,truncating,model-only,1
BRCA,HUWE1,missense,both,1
BRCA,IDH2,missense,tumor-only,1
BRCA,IL6ST,missense,model-only,1
BRCA,KMT2B,missense,both,1
BRCA,IL7R,missense,tumor-only,1
BRCA,IRF6,missense,both,1
BRCA,JAK1,truncating,tumor-only,1
BRCA,JAK2,truncating,both,1
BRCA,JAK3,missense,both,1
BRCA,KANSL1,missense,model-only,1
BRCA,KDM6A,missense,both,1
BRCA,LZTR1,missense,tumor-only,1
BRCA,MACF1,missense,both,1
BRCA,KEL,truncating,model-only,1
BRCA,KIF1A,missense,tumor-only,1
BRCA,KIT,missense,model-only,1
BRCA,KIT,truncating,both,1
BRCA,KLF5,missense,both,1
BRCA,KMT2A,truncating,both,1
READ,APC,missense,model-only,1
READ,ARAF,missense,both,1
READ,DNMT3A,missense,model-only,1
READ,EEF2,missense,model-only,1
READ,EIF1AX,missense,both,1
READ,ELF3,missense,both,1
BRCA,LATS2,missense,both,1
BRCA,LEMD2,missense,model-only,1
READ,CDKN1B,missense,model-only,1
READ,CDKN2A,missense,tumor-only,1
READ,CHD3,missense,model-only,1
READ,CHD4,truncating,model-only,1
READ,FUBP1,missense,model-only,1
READ,GATA3,truncating,model-only,1
READ,GNA11,missense,tumor-only,1
READ,GNAS,missense,model-only,1
READ,CIC,missense,model-only,1
READ,CNBD1,missense,model-only,1
READ,CNBD1,missense,tumor-only,1
READ,COL5A1,missense,model-only,1
READ,CREBBP,missense,model-only,1
READ,CBFB,missense,model-only,1
READ,CDH1,truncating,both,1
READ,CDK12,missense,model-only,1
READ,CUL1,truncating,both,1
READ,CYLD,missense,both,1
READ,DDX3X,truncating,both,1
READ,DIAPH2,missense,both,1
READ,DICER1,missense,both,1
READ,DMD,truncating,both,1
READ,CHD8,missense,model-only,1
READ,CHD8,missense,tumor-only,1
BRCA,IL7R,missense,model-only,1
BRCA,NF2,missense,both,1
BRCA,NFE2L2,missense,both,1
BRCA,NIPBL,missense,both,1
BRCA,NOTCH1,truncating,both,1
READ,ELF3,truncating,both,1
READ,ELF3,truncating,model-only,1
READ,EP300,insertion,model-only,1
READ,LATS1,missense,both,1
READ,LATS1,missense,model-only,1
READ,LATS1,truncating,both,1
READ,MACF1,missense,both,1
READ,MACF1,missense,model-only,1
READ,MACF1,truncating,model-only,1
READ,KMT2C,missense,tumor-only,1
READ,KMT2C,truncating,both,1
READ,EPHA2,truncating,both,1
READ,EPHA3,truncating,both,1
READ,ERBB3,missense,both,1
READ,ERBB3,missense,model-only,1
READ,ERBB4,missense,model-only,1
READ,EZH2,missense,model-only,1
READ,KRAS,missense,model-only,1
READ,KRT222,missense,model-only,1
READ,FLT3,missense,both,1
READ,FOXA2,missense,model-only,1
READ,FAT1,missense,tumor-only,1
READ,FAT1,truncating,both,1
READ,FBXW7,missense,model-only,1
READ,FBXW7,truncating,tumor-only,1
READ,FGFR1,hlamp,both,1
READ,FGFR1,hlamp,model-only,1
READ,HGF,missense,both,1
READ,HGF,missense,model-only,1
READ,HRAS,missense,both,1
READ,FGFR1,missense,model-only,1
READ,FGFR2,deletion,both,1
READ,FGFR2,missense,both,1
READ,FGFR3,missense,both,1
READ,FLNA,missense,model-only,1
READ,PDGFRA,missense,model-only,1
READ,NCOR1,missense,both,1
READ,NCOR1,missense,model-only,1
READ,NF1,missense,model-only,1
READ,NF2,missense,tumor-only,1
READ,NIPBL,missense,model-only,1
READ,NOTCH2,missense,model-only,1
READ,MGA,missense,both,1
READ,KEL,missense,both,1
READ,NRAS,missense,model-only,1
READ,NUP93,missense,both,1
READ,NUP93,missense,model-only,1
READ,PAX5,missense,both,1
READ,PBRM1,truncating,both,1
READ,PCBP1,missense,both,1
READ,PDGFRA,missense,both,1
READ,KMT2B,missense,both,1
READ,KMT2C,missense,both,1
READ,HUWE1,missense,both,1
READ,IL6ST,missense,both,1
READ,INPPL1,missense,both,1
READ,JAK1,truncating,model-only,1
READ,KANSL1,missense,both,1
READ,KDM6A,missense,model-only,1
READ,KMT2D,missense,both,1
READ,KMT2D,missense,model-only,1
READ,KRAS,hlamp,both,1
READ,KRAS,hlamp,tumor-only,1
READ,KIF1A,deletion,model-only,1
READ,KIF1A,truncating,both,1
READ,KLF5,missense,both,1
READ,KLF5,missense,model-only,1
READ,PPP2R1A,missense,model-only,1
READ,PTCH1,truncating,both,1
READ,PTEN,deletion,both,1
READ,PIK3R2,missense,model-only,1
READ,PIM1,missense,model-only,1
READ,PLCG1,missense,model-only,1
READ,PLCG1,missense,tumor-only,1
READ,PLXNB2,missense,both,1
READ,RARA,missense,model-only,1
READ,RASA1,missense,model-only,1
READ,RBM10,missense,both,1
READ,PMS2,truncating,both,1
READ,POLE,missense,both,1
READ,POLE,missense,model-only,1
READ,PPM1D,missense,both,1
READ,PPM1D,missense,model-only,1
READ,MECOM,missense,model-only,1
READ,MED12,deletion,both,1
READ,MED12,missense,model-only,1
READ,MET,missense,model-only,1
READ,PTEN,missense,model-only,1
READ,PTMA,missense,model-only,1
READ,RAC1,deletion,both,1
READ,RAF1,truncating,model-only,1
READ,MGA,missense,model-only,1
READ,MGA,truncating,both,1
READ,MSH2,missense,model-only,1
READ,MSH6,missense,model-only,1
READ,MAP3K1,missense,both,1
READ,MAPK1,truncating,model-only,1
READ,MAX,missense,model-only,1
READ,MECOM,missense,both,1
BRCA,CTNND1,truncating,model-only,1
BRCA,CUL3,truncating,model-only,1
BRCA,DAZAP1,truncating,tumor-only,1
BRCA,DHX9,truncating,model-only,1
BRCA,DIAPH2,truncating,model-only,1
BRCA,DICER1,missense,both,1
BRCA,DMD,truncating,both,1
BRCA,CHD8,truncating,both,1
BRCA,EP300,missense,both,1
BRCA,EPAS1,missense,model-only,1
BRCA,EPHA2,missense,both,1
BRCA,ERBB2,deletion,both,1
BRCA,ERBB2,missense,both,1
BRCA,ERBB3,missense,both,1
BRCA,ERBB4,missense,tumor-only,1
