cancer_type,gene,event,note,count
COAD,RB1,missense,tumor-only,2
COAD,SOX17,missense,tumor-only,2
COAD,BRAF,missense,model-only,2
COAD,ZFHX3,truncating,both,2
COAD,SPTA1,missense,model-only,2
COAD,ALK,truncating,both,2
COAD,ARHGAP35,missense,both,2
COAD,ALB,missense,both,2
COAD,ZMYM3,missense,both,2
COAD,ZMYM2,truncating,both,2
COAD,ZNF750,missense,model-only,2
COAD,ATRX,truncating,both,2
COAD,ASXL1,truncating,both,2
COAD,ZC3H12A,missense,both,2
COAD,TBL1XR1,truncating,both,2
COAD,TBX3,missense,both,2
COAD,TGFBR2,truncating,both,2
COAD,TP53,missense,model-only,2
COAD,ZFHX3,missense,tumor-only,2
SKCM,DAZAP1,missense,both,2
SKCM,EGFR,missense,both,2
ESCA,CCND1,hlamp,tumor-only,2
ESCA,EPHA2,truncating,both,2
COAD,TCF12,truncating,both,2
COAD,TCF7L2,missense,both,2
COAD,ARID2,truncating,both,2
COAD,CDK12,truncating,both,2
SKCM,IRF2,missense,tumor-only,2
SKCM,KMT2A,truncating,both,2
SKCM,KMT2B,missense,tumor-only,2
SKCM,JAK3,missense,both,2
SKCM,ESR1,missense,both,2
SKCM,KIT,missense,both,2
BLCA,PIK3CA,missense,both,2
SKCM,MGA,missense,both,2
SKCM,FGFR2,missense,both,2
SKCM,FGFR3,missense,both,2
SKCM,FLT3,truncating,both,2
SKCM,FOXA1,missense,both,2
SKCM,GABRA6,missense,both,2
SKCM,FGFR1,missense,both,2
SKCM,GNAS,missense,both,2
SKCM,GNAS,missense,tumor-only,2
COAD,BAP1,missense,both,2
COAD,BCL2L11,missense,both,2
COAD,ATM,truncating,both,2
COAD,HLA-B,truncating,both,2
COAD,GNAS,truncating,both,2
BLCA,SMARCA4,missense,both,2
BLCA,TP53,missense,both,2
BLCA,TP53,truncating,both,2
COAD,CSDE1,truncating,both,2
COAD,CASP8,missense,both,2
COAD,BCOR,truncating,both,2
COAD,TET2,truncating,both,2
COAD,SMAD4,homdel,both,2
